Dataset,Method,M,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std,TrainTime_mspt_mean,TrainTime_mspt_std
POL,MOE,800,0.0779135198511189,0.004971643698846,-1.44517651481479,0.0660245248295175,0.1696463,0.00157162889365619
POL,MOE,900,0.0720982367421543,0.00284189831502014,-1.44272241422082,0.054287586224387,0.1863398,0.00223661364832531
POL,MOE,1000,0.0684668810091105,0.00343450760270921,-1.3947287988326,0.0636843413269473,0.20394585,0.00150141580245947
POL,MOE,1100,0.0664008857573183,0.00431896207111686,-1.37601783422255,0.0449403225049335,0.220714391666667,0.00251706865300855
POL,MOE,1200,0.0645934604591004,0.00280025639120646,-1.34000578562531,0.092027029441725,0.236954316666667,0.000865503856264276
POL,MOE,1300,0.0639728369077747,0.00368577193315681,-1.34722213586785,0.0296372708492866,0.254060566666667,0.000520358394722652
POL,MOE,1400,0.0615780250647746,0.00414483487123496,-1.30033606431543,0.0431509768802407,0.267852183333333,0.00326006782946432
POL,MOE,1500,0.0624432548205036,0.00381844059719051,-1.27538817378966,0.0941559624229639,0.286591791666667,0.00275907250010455
POL,MOE,1600,0.0610709127793513,0.00224979157968662,-1.18403417275979,0.0569551567103604,0.303552133333333,0.0019749823775058
POL,MOE,1700,0.0596119658919147,0.00333846897853128,-1.25819725599866,0.0698721626456616,0.321319516666667,0.00233159052825714
POL,MOE,1800,0.0599238401159419,0.00427526571864321,-1.24861089237815,0.0228672262587629,0.341607558333333,0.00198178874730845
POL,MOE,1900,0.058818267361567,0.00303152053461607,-1.16851436318544,0.0715163914992951,0.358920841666667,0.0013512341988746
POL,MOE,2000,0.0579556925045806,0.00334240197823829,-1.16049925450076,0.0820458851915161,0.3787292,0.0045064715395612
POL,MOE,2100,0.0582004770843542,0.00333031290018668,-1.15653557832907,0.0798322601218891,0.398180891666667,0.00163323276133818
POL,MOE,2200,0.0564783044993334,0.0031273840162425,-1.0410928317033,0.144564618585637,0.408918966666667,0.00394396207205818
POL,MOE,2300,0.0567251672561471,0.00325030550691807,-1.10885600905972,0.148941663268022,0.427340116666667,0.00159131988580496
POL,MOE,2400,0.0557364036754485,0.0033551341131201,-0.971678121360979,0.113601053448431,0.44869285,0.00194758465910343
POL,MOE,2500,0.0557178020638155,0.00398471357332699,-0.985088116953711,0.142991129214169,0.467292375,0.00268787571013341
POL,BCM,100,0.176545319551222,0.0133941791324611,-1.04056122604326,0.0550618929965403,0.080243075,0.000937038732857403
POL,BCM,200,0.129265886937713,0.00435734759006485,-1.35280181960292,0.070372467039636,0.0929437166666667,0.000743926832059666
POL,BCM,300,0.0969596058097712,0.00333000578104624,-1.50764339513389,0.0539306272878881,0.105877666666667,0.00165913584742429
POL,BCM,400,0.0845907956529149,0.00474437980899264,-1.57509695157511,0.032414727041377,0.119980566666667,0.00160121986902433
POL,BCM,500,0.0748386370348244,0.00439584872113349,-1.60733776529052,0.0111615022957367,0.135845608333333,0.00119262050028848
POL,BCM,600,0.0672703538442008,0.00357694694561005,-1.66636278720726,0.0216333850836135,0.148531891666667,0.00076626074475883
POL,BCM,700,0.0615825273317567,0.00577625555253238,-1.69565698515557,0.0350083983655859,0.162349733333333,0.00053641389123356
POL,BCM,800,0.0574204911419061,0.00487018212504405,-1.70489731163719,0.0397022863971675,0.176779833333333,0.000779627166636921
